,Series,Symbol,Date,Prev Close,Open Price,High Price,Low Price,Last Price,Close Price,Average Price,Total Traded Quantity,Turnover,No. of Trades,Deliverable Qty,% Dly Qt to Traded Qty,Month,Year,Total_Cost,Day_Perc_Change,Trend
79,EQ,HDFCBANK,2017-09-06,1755.35,1743.75,1762.8,1738.0,       1761.55,1759.9,1753.59,1437908,2521503245.4,24340,869626,60.48,9,2017,2530574289.2000003,0.0025920756544279833,Slight or No change
80,EQ,HDFCBANK,2017-09-07,1759.9,1760.1,1776.75,1760.1,       1765.25,1766.55,1766.63,1736605,3067935845.9,27641,605806,34.88,9,2017,3067799562.75,0.0037786237854422478,Slight or No change
81,EQ,HDFCBANK,2017-09-08,1766.55,1773.4,1790.0,1771.0,       1785.00,1787.65,1781.89,2077916,3702622520.6,33955,1234323,59.4,9,2017,3714586537.4,0.011944184993348594,Slight or No change
82,EQ,HDFCBANK,2017-09-11,1787.65,1793.0,1829.0,1790.2,       1822.00,1823.35,1816.72,2869419,5212939744.6,88980,1733975,60.43,9,2017,5231955133.65,0.01997035213828191,Slight or No change
83,EQ,HDFCBANK,2017-09-12,1823.35,1827.7,1839.9,1818.3,       1837.10,1835.2,1833.12,1671920,3064825860.1,67989,919925,55.02,9,2017,3068307584.0,0.006499026517125195,Slight or No change
84,EQ,HDFCBANK,2017-09-13,1835.2,1835.0,1849.0,1824.0,       1843.25,1841.85,1841.58,1248844,2299847291.95,30091,657075,52.61,9,2017,2300183321.4,0.003623583260679908,Slight or No change
85,EQ,HDFCBANK,2017-09-14,1841.85,1840.15,1852.5,1831.5,       1840.00,1839.4,1839.93,2038504,3750701010.7,29517,557209,27.33,9,2017,3749624257.6000004,-0.0013301843255421053,Slight or No change
86,EQ,HDFCBANK,2017-09-15,1839.4,1836.0,1851.8,1833.45,       1850.00,1848.95,1845.98,941833,1738607041.2,24200,487645,51.78,9,2017,1741402125.3500001,0.005191910405567102,Slight or No change
87,EQ,HDFCBANK,2017-09-18,1848.95,1853.55,1864.45,1852.5,       1860.00,1860.45,1861.58,1021232,1901109128.2,29374,754277,73.86,9,2017,1899951074.4,0.0062197463425186506,Slight or No change
88,EQ,HDFCBANK,2017-09-19,1860.45,1864.9,1868.0,1847.55,       1847.55,1849.7,1858.58,1060367,1970780896.0,23565,684467,64.55,9,2017,1961360839.9,-0.0057781719476470705,Slight or No change
89,EQ,HDFCBANK,2017-09-20,1849.7,1848.0,1861.45,1845.25,       1850.00,1848.85,1850.15,861532,1593967559.2,26905,579361,67.25,9,2017,1592843438.1999998,-0.0004595339784830843,Slight or No change
90,EQ,HDFCBANK,2017-09-21,1848.85,1848.0,1848.5,1830.7,       1843.00,1839.1,1839.29,1928124,3546374079.25,50920,1006098,52.18,9,2017,3546012848.3999996,-0.005273548421992014,Slight or No change
91,EQ,HDFCBANK,2017-09-22,1839.1,1834.8,1838.95,1820.0,       1823.00,1824.1,1826.77,2060881,3764746963.9,52897,1491250,72.36,9,2017,3759253032.1,-0.008156163340764522,Slight or No change
92,EQ,HDFCBANK,2017-09-25,1824.1,1822.45,1822.45,1792.6,       1798.80,1799.75,1802.36,2537307,4573149061.6,86102,1735249,68.39,9,2017,4566518273.25,-0.013349048846006184,Slight or No change
93,EQ,HDFCBANK,2017-09-26,1799.75,1789.05,1796.6,1785.0,       1791.00,1792.3,1790.07,2859683,5119024677.3,69670,2089818,73.08,9,2017,5125409840.9,-0.0041394638144186535,Slight or No change
94,EQ,HDFCBANK,2017-09-27,1792.3,1796.0,1805.6,1770.0,       1780.55,1776.5,1779.35,1834305,3263870334.3,50529,1187303,64.73,9,2017,3258642832.5,-0.00881548847849134,Slight or No change
95,EQ,HDFCBANK,2017-09-28,1776.5,1774.0,1799.0,1763.3,       1795.00,1795.3,1789.02,6911616,12365024438.9,97472,3794792,54.9,9,2017,12408424204.8,0.010582606248240811,Slight or No change
96,EQ,HDFCBANK,2017-09-29,1795.3,1800.1,1822.0,1796.25,       1800.05,1805.7,1812.45,1553408,2815470649.5,58153,1016550,65.44,9,2017,2804988825.6,0.005792903692976248,Slight or No change
97,EQ,HDFCBANK,2017-10-03,1805.7,1808.0,1821.0,1797.1,       1810.20,1808.85,1811.27,1098606,1989876645.7,34504,589947,53.7,10,2017,1987213463.1,0.001744475826549241,Slight or No change
98,EQ,HDFCBANK,2017-10-04,1808.85,1807.9,1811.9,1793.35,       1794.00,1797.0,1804.18,1656276,2988217758.3,25580,1215255,73.37,10,2017,2976327972.0,-0.006551123642092982,Slight or No change
99,EQ,HDFCBANK,2017-10-05,1797.0,1795.0,1805.0,1793.1,       1798.80,1798.6,1800.4,834049,1501622831.9,38155,427038,51.2,10,2017,1500120531.3999999,0.000890372843628251,Slight or No change
100,EQ,HDFCBANK,2017-10-06,1798.6,1798.0,1804.45,1794.0,       1799.95,1800.1,1799.53,757665,1363439873.3,24959,376128,49.64,10,2017,1363872766.5,0.0008339819859890518,Slight or No change
101,EQ,HDFCBANK,2017-10-09,1800.1,1798.8,1803.0,1790.5,       1795.15,1795.5,1797.35,765623,1376094774.5,27930,520471,67.98,10,2017,1374676096.5,-0.002555413588133937,Slight or No change
102,EQ,HDFCBANK,2017-10-10,1795.5,1799.0,1814.95,1792.65,       1800.00,1802.7,1806.18,949545,1715046387.4,30047,516925,54.44,10,2017,1711744771.5,0.004010025062656686,Slight or No change
103,EQ,HDFCBANK,2017-10-11,1802.7,1803.25,1815.25,1787.6,       1789.00,1790.15,1802.03,1316860,2373017278.75,36368,902433,68.53,10,2017,2357376929.0,-0.006961779552892899,Slight or No change
104,EQ,HDFCBANK,2017-10-12,1790.15,1795.1,1821.45,1788.0,       1820.00,1818.8,1805.42,1345390,2428990122.5,20722,650121,48.32,10,2017,2446995332.0,0.016004245454291466,Slight or No change
105,EQ,HDFCBANK,2017-10-13,1818.8,1826.7,1856.55,1822.0,       1848.90,1850.8,1845.91,1608366,2968902053.05,38331,921394,57.29,10,2017,2976763792.7999997,0.017594018033868508,Slight or No change
106,EQ,HDFCBANK,2017-10-16,1850.8,1860.0,1873.25,1842.0,       1854.15,1857.15,1857.21,818636,1520380114.65,17387,282082,34.46,10,2017,1520329847.4,0.003430948778906595,Slight or No change
107,EQ,HDFCBANK,2017-10-17,1857.15,1850.0,1853.7,1839.1,       1848.95,1851.25,1848.53,653322,1207682521.05,21579,286796,43.9,10,2017,1209462352.5,-0.0031769108580351757,Slight or No change
108,EQ,HDFCBANK,2017-10-18,1851.25,1841.0,1875.0,1839.0,       1866.25,1868.5,1864.24,981680,1830089740.8,21247,454935,46.34,10,2017,1834269080.0,0.00931802835921669,Slight or No change
109,EQ,HDFCBANK,2017-10-19,1868.5,1861.8,1865.0,1840.65,       1845.00,1848.4,1853.98,142502,264195241.2,5682,69002,48.42,10,2017,263400696.8,-0.010757291945410752,Slight or No change
110,EQ,HDFCBANK,2017-10-23,1848.4,1859.9,1869.7,1836.05,       1865.85,1863.3,1850.99,1040723,1926372969.3,30073,581885,55.91,10,2017,1939179165.8999999,0.008061025752001738,Slight or No change
111,EQ,HDFCBANK,2017-10-24,1863.3,1863.0,1879.6,1853.0,       1866.55,1867.1,1866.12,2832218,5285245263.55,66436,848580,29.96,10,2017,5288034227.8,0.0020393924757151627,Slight or No change
112,EQ,HDFCBANK,2017-10-25,1867.1,1860.0,1863.0,1785.0,       1795.15,1795.1,1800.74,5341802,9619220470.25,173315,3343490,62.59,10,2017,9589068770.199999,-0.03856247656793954,Slight or No change
113,EQ,HDFCBANK,2017-10-26,1795.1,1768.0,1810.0,1757.85,       1791.70,1795.35,1789.19,7142866,12779964395.95,184420,4974132,69.64,10,2017,12823944473.099998,0.00013926800735331035,Slight or No change
114,EQ,HDFCBANK,2017-10-27,1795.35,1804.4,1807.5,1779.0,       1787.90,1791.05,1792.86,1868022,3349109113.65,49615,1118984,59.9,10,2017,3345720803.1,-0.0023950761689920386,Slight or No change
115,EQ,HDFCBANK,2017-10-30,1791.05,1798.25,1816.0,1792.4,       1815.75,1815.0,1805.49,1355588,2447503452.15,27755,880144,64.93,10,2017,2460392220.0,0.013372044331537492,Slight or No change
116,EQ,HDFCBANK,2017-10-31,1815.0,1811.5,1811.5,1799.25,       1809.45,1808.5,1805.2,1170615,2113192779.85,55768,722914,61.76,10,2017,2117057227.5,-0.003581267217630857,Slight or No change
117,EQ,HDFCBANK,2017-11-01,1808.5,1815.1,1825.0,1812.0,       1822.50,1821.2,1819.3,1047653,1905990950.35,26503,573002,54.69,11,2017,1907985643.6000001,0.007022394249377895,Slight or No change
118,EQ,HDFCBANK,2017-11-02,1821.2,1823.0,1829.8,1816.95,       1820.00,1822.1,1822.05,1184486,2158197543.05,30785,739301,62.42,11,2017,2158251940.6,0.0004941796617614624,Slight or No change
119,EQ,HDFCBANK,2017-11-03,1822.1,1825.7,1840.0,1821.6,       1830.00,1830.7,1829.95,952622,1743253303.15,50442,561501,58.94,11,2017,1743965095.4,0.004719828769002898,Slight or No change
120,EQ,HDFCBANK,2017-11-06,1830.7,1825.0,1840.0,1822.6,       1828.00,1828.6,1833.27,1537061,2817847902.95,51333,821944,53.48,11,2017,2810669744.6,-0.0011471022013438414,Slight or No change
121,EQ,HDFCBANK,2017-11-07,1828.6,1838.0,1844.95,1820.75,       1825.00,1823.7,1828.67,1861594,3404233842.3,41972,1396048,74.99,11,2017,3394988977.8,-0.0026796456305369087,Slight or No change
122,EQ,HDFCBANK,2017-11-08,1823.7,1825.2,1833.6,1819.0,       1822.60,1825.95,1826.22,820786,1498935108.3,20749,498960,60.79,11,2017,1498714196.7,0.0012337555518999732,Slight or No change
